"indnaics_str","bea_detail","naics_multi_io","match_type","n_bea","match_quality"
"111","1111A0",FALSE,"prefix_3d",6,"coarse"
"111","1111B0",FALSE,"prefix_3d",6,"coarse"
"111","111200",FALSE,"prefix_3d",6,"coarse"
"111","111300",FALSE,"prefix_3d",6,"coarse"
"111","111400",FALSE,"prefix_3d",6,"coarse"
"111","111900",FALSE,"prefix_3d",6,"coarse"
"112","112120",FALSE,"prefix_3d",4,"acceptable"
"112","1121A0",FALSE,"prefix_3d",4,"acceptable"
"112","112300",FALSE,"prefix_3d",4,"acceptable"
"112","112A00",FALSE,"prefix_3d",4,"acceptable"
"1133","113000",FALSE,"prefix_3d",1,"acceptable"
"113M","113000",FALSE,"prefix_3d",1,"acceptable"
"114","114000",FALSE,"exact_6d",1,"clean"
"115","115000",FALSE,"exact_6d",1,"clean"
"211","211000",FALSE,"exact_6d",1,"clean"
"2121","212100",FALSE,"exact_6d",1,"clean"
"2122","212230",FALSE,"prefix_4d",2,"acceptable"
"2122","2122A0",FALSE,"prefix_4d",2,"acceptable"
"2123","212310",FALSE,"prefix_4d",2,"acceptable"
"2123","2123A0",FALSE,"prefix_4d",2,"acceptable"
"213","213111",FALSE,"prefix_3d",2,"acceptable"
"213","21311A",FALSE,"prefix_3d",2,"acceptable"
"2211P","221100",FALSE,"prefix_4d",1,"acceptable"
"2212P","221200",FALSE,"prefix_4d",1,"acceptable"
"22132","221300",FALSE,"prefix_4d",1,"acceptable"
"2213M","221300",FALSE,"prefix_4d",1,"acceptable"
"221MP","221100",FALSE,"prefix_3d",3,"acceptable"
"221MP","221200",FALSE,"prefix_3d",3,"acceptable"
"221MP","221300",FALSE,"prefix_3d",3,"acceptable"
"22S","221100",FALSE,"prefix_2d",3,"acceptable"
"22S","221200",FALSE,"prefix_2d",3,"acceptable"
"22S","221300",FALSE,"prefix_2d",3,"acceptable"
"23","230301",TRUE,"exact_6d",12,"clean"
"23","230302",TRUE,"exact_6d",12,"clean"
"23","233210",TRUE,"exact_6d",12,"clean"
"23","233230",TRUE,"exact_6d",12,"clean"
"23","233240",TRUE,"exact_6d",12,"clean"
"23","233262",TRUE,"exact_6d",12,"clean"
"23","2332A0",TRUE,"exact_6d",12,"clean"
"23","2332C0",TRUE,"exact_6d",12,"clean"
"23","2332D0",TRUE,"exact_6d",12,"clean"
"23","233411",TRUE,"exact_6d",12,"clean"
"23","233412",TRUE,"exact_6d",12,"clean"
"23","2334A0",TRUE,"exact_6d",12,"clean"
"3113","311300",FALSE,"exact_6d",1,"clean"
"3114","311410",FALSE,"prefix_4d",2,"acceptable"
"3114","311420",FALSE,"prefix_4d",2,"acceptable"
"3115","311513",FALSE,"prefix_4d",4,"acceptable"
"3115","311514",FALSE,"prefix_4d",4,"acceptable"
"3115","31151A",FALSE,"prefix_4d",4,"acceptable"
"3115","311520",FALSE,"prefix_4d",4,"acceptable"
"3116","311615",FALSE,"prefix_4d",2,"acceptable"
"3116","31161A",FALSE,"prefix_4d",2,"acceptable"
"311811","311810",FALSE,"prefix_5d",1,"acceptable"
"3118Z","311810",FALSE,"prefix_4d",2,"acceptable"
"3118Z","3118A0",FALSE,"prefix_4d",2,"acceptable"
"311M1","311111",FALSE,"prefix_3d",24,"unusable"
"311M1","311119",FALSE,"prefix_3d",24,"unusable"
"311M1","311210",FALSE,"prefix_3d",24,"unusable"
"311M1","311221",FALSE,"prefix_3d",24,"unusable"
"311M1","311224",FALSE,"prefix_3d",24,"unusable"
"311M1","311225",FALSE,"prefix_3d",24,"unusable"
"311M1","311230",FALSE,"prefix_3d",24,"unusable"
"311M1","311300",FALSE,"prefix_3d",24,"unusable"
"311M1","311410",FALSE,"prefix_3d",24,"unusable"
"311M1","311420",FALSE,"prefix_3d",24,"unusable"
"311M1","311513",FALSE,"prefix_3d",24,"unusable"
"311M1","311514",FALSE,"prefix_3d",24,"unusable"
"311M1","31151A",FALSE,"prefix_3d",24,"unusable"
"311M1","311520",FALSE,"prefix_3d",24,"unusable"
"311M1","311615",FALSE,"prefix_3d",24,"unusable"
"311M1","31161A",FALSE,"prefix_3d",24,"unusable"
"311M1","311700",FALSE,"prefix_3d",24,"unusable"
"311M1","311810",FALSE,"prefix_3d",24,"unusable"
"311M1","3118A0",FALSE,"prefix_3d",24,"unusable"
"311M1","311910",FALSE,"prefix_3d",24,"unusable"
"311M1","311920",FALSE,"prefix_3d",24,"unusable"
"311M1","311930",FALSE,"prefix_3d",24,"unusable"
"311M1","311940",FALSE,"prefix_3d",24,"unusable"
"311M1","311990",FALSE,"prefix_3d",24,"unusable"
"311M2","311111",FALSE,"prefix_3d",24,"unusable"
"311M2","311119",FALSE,"prefix_3d",24,"unusable"
"311M2","311210",FALSE,"prefix_3d",24,"unusable"
"311M2","311221",FALSE,"prefix_3d",24,"unusable"
"311M2","311224",FALSE,"prefix_3d",24,"unusable"
"311M2","311225",FALSE,"prefix_3d",24,"unusable"
"311M2","311230",FALSE,"prefix_3d",24,"unusable"
"311M2","311300",FALSE,"prefix_3d",24,"unusable"
"311M2","311410",FALSE,"prefix_3d",24,"unusable"
"311M2","311420",FALSE,"prefix_3d",24,"unusable"
"311M2","311513",FALSE,"prefix_3d",24,"unusable"
"311M2","311514",FALSE,"prefix_3d",24,"unusable"
"311M2","31151A",FALSE,"prefix_3d",24,"unusable"
"311M2","311520",FALSE,"prefix_3d",24,"unusable"
"311M2","311615",FALSE,"prefix_3d",24,"unusable"
"311M2","31161A",FALSE,"prefix_3d",24,"unusable"
"311M2","311700",FALSE,"prefix_3d",24,"unusable"
"311M2","311810",FALSE,"prefix_3d",24,"unusable"
"311M2","3118A0",FALSE,"prefix_3d",24,"unusable"
"311M2","311910",FALSE,"prefix_3d",24,"unusable"
"311M2","311920",FALSE,"prefix_3d",24,"unusable"
"311M2","311930",FALSE,"prefix_3d",24,"unusable"
"311M2","311940",FALSE,"prefix_3d",24,"unusable"
"311M2","311990",FALSE,"prefix_3d",24,"unusable"
"311S","311111",FALSE,"prefix_3d",24,"unusable"
"311S","311119",FALSE,"prefix_3d",24,"unusable"
"311S","311210",FALSE,"prefix_3d",24,"unusable"
"311S","311221",FALSE,"prefix_3d",24,"unusable"
"311S","311224",FALSE,"prefix_3d",24,"unusable"
"311S","311225",FALSE,"prefix_3d",24,"unusable"
"311S","311230",FALSE,"prefix_3d",24,"unusable"
"311S","311300",FALSE,"prefix_3d",24,"unusable"
"311S","311410",FALSE,"prefix_3d",24,"unusable"
"311S","311420",FALSE,"prefix_3d",24,"unusable"
"311S","311513",FALSE,"prefix_3d",24,"unusable"
"311S","311514",FALSE,"prefix_3d",24,"unusable"
"311S","31151A",FALSE,"prefix_3d",24,"unusable"
"311S","311520",FALSE,"prefix_3d",24,"unusable"
"311S","311615",FALSE,"prefix_3d",24,"unusable"
"311S","31161A",FALSE,"prefix_3d",24,"unusable"
"311S","311700",FALSE,"prefix_3d",24,"unusable"
"311S","311810",FALSE,"prefix_3d",24,"unusable"
"311S","3118A0",FALSE,"prefix_3d",24,"unusable"
"311S","311910",FALSE,"prefix_3d",24,"unusable"
"311S","311920",FALSE,"prefix_3d",24,"unusable"
"311S","311930",FALSE,"prefix_3d",24,"unusable"
"311S","311940",FALSE,"prefix_3d",24,"unusable"
"311S","311990",FALSE,"prefix_3d",24,"unusable"
"3121","312110",FALSE,"prefix_4d",4,"acceptable"
"3121","312120",FALSE,"prefix_4d",4,"acceptable"
"3121","312130",FALSE,"prefix_4d",4,"acceptable"
"3121","312140",FALSE,"prefix_4d",4,"acceptable"
"3122","312200",FALSE,"exact_6d",1,"clean"
"3131","313100",FALSE,"exact_6d",1,"clean"
"3132Z","313200",FALSE,"prefix_4d",1,"acceptable"
"3133","313300",FALSE,"exact_6d",1,"clean"
"31411","314110",FALSE,"exact_6d",1,"clean"
"314Z","314110",FALSE,"prefix_3d",3,"acceptable"
"314Z","314120",FALSE,"prefix_3d",3,"acceptable"
"314Z","314900",FALSE,"prefix_3d",3,"acceptable"
"315M","315000",FALSE,"prefix_3d",1,"acceptable"
"3162","316000",FALSE,"prefix_3d",1,"acceptable"
"316M","316000",FALSE,"prefix_3d",1,"acceptable"
"31M","311111",FALSE,"prefix_2d",37,"unusable"
"31M","311119",FALSE,"prefix_2d",37,"unusable"
"31M","311210",FALSE,"prefix_2d",37,"unusable"
"31M","311221",FALSE,"prefix_2d",37,"unusable"
"31M","311224",FALSE,"prefix_2d",37,"unusable"
"31M","311225",FALSE,"prefix_2d",37,"unusable"
"31M","311230",FALSE,"prefix_2d",37,"unusable"
"31M","311300",FALSE,"prefix_2d",37,"unusable"
"31M","311410",FALSE,"prefix_2d",37,"unusable"
"31M","311420",FALSE,"prefix_2d",37,"unusable"
"31M","311513",FALSE,"prefix_2d",37,"unusable"
"31M","311514",FALSE,"prefix_2d",37,"unusable"
"31M","31151A",FALSE,"prefix_2d",37,"unusable"
"31M","311520",FALSE,"prefix_2d",37,"unusable"
"31M","311615",FALSE,"prefix_2d",37,"unusable"
"31M","31161A",FALSE,"prefix_2d",37,"unusable"
"31M","311700",FALSE,"prefix_2d",37,"unusable"
